ISO;pais;desenvolvido;ano;unemployment;ppp;ppp_2011;gdp_npc;gross_fixed;share_manuf_gdp;sahre_ind_gdp;share_ind_emplo;export_devel;export_industrial;export_manuf;import_devel;import_industrial;import_manuf;exp_imp_manuf;exp_imp_ind;exp_imp_dev;l_ppp;l_ppp_2011;l2_ppp;l2_ppp_2011;r_exp_imp_manuf;r_export_manuf;r_import_manuf
KAZ;Kazakhstan;0;2015;4,971;24940,13;23420,96;4,41E+11;22,8815;10,2754;30,8548;20,562;9109301584;28883054654;6572633305;9147346789;8595747466;6572633305;13145266610;37478802120;18256648373;10,1242;10,0614;102,5001;101,2315;0,0298;0,0149;0,0149
KEN;Kenya;0;1995;;1753,98;2405,67;44763000000;21,3856;8,3634;13,5565;12,756;920151064;817784595;509282776;1015246271;1457180837;509282776;1018565552;2274965432;1935397335;7,4696;7,7856;55,7956;60,6153;0,0228;0,0114;0,0114
KEN;Kenya;0;2000;;1822,3;2299,06;53746000000;16,7088;10,3156;15,0159;13,934;866188662;685567945;339715246;1584016099;1271460625;339715246;679430492;1957028570;2450204761;7,5079;7,7403;56,3679;59,9116;0,0126;0,0063;0,0063
KEN;Kenya;0;2005;;2124,04;2385,51;71799000000;18,6991;10,5361;17,0126;14,586;1877278881;1408087652;1040178865;3596815890;2179858814;1040178865;2080357730;3587946466;5474094771;7,6611;7,7772;58,6921;60,4843;0,029;0,0145;0,0145
KEN;Kenya;0;2010;;2605,35;2659,13;1E+11;20,3717;11,2553;18,5495;15,299;3131944596;1868663493;1629389866;8421395974;3457608637;1629389866;3258779732;5326272130;11553340570;7,8653;7,8858;61,8633;62,1851;0,0325;0,0162;0,0162
KEN;Kenya;0;2015;;3227;3030,44;1,43E+11;21,6156;9,3711;17,3008;14,549;3629122333;1850972160;1742971704;11397591747;4498952657;1742971704;3485943408;6349924817;15026714080;8,0793;8,0165;65,2752;64,2637;0,0244;0,0122;0,0122
KWT;Kuwait;0;1995;1,5;48207,56;66119,22;94487000000;13,5568;;;23,112;6693406893;6057714050;1134766724;2412816197;5248661468;1134766724;2269533448;11306375518;9106223090;10,7833;11,0992;116,2789;123,1926;0,024;0,012;0,012
KWT;Kuwait;0;2000;0,777;50908,28;64227,25;1,13E+11;10,6655;;;21,872;9295057131;10100939558;1349133788;2882595955;4260737029;1349133788;2698267576;14361676587;12177653086;10,8378;11,0702;117,4575;122,5489;0,0239;0,012;0,012
KWT;Kuwait;0;2005;1,349;62601,1;70307,43;1,87E+11;14,6272;;;20,694;25988063511;18911598961;3488546624;7035645604;8626909693;3488546624;6977093248;27538508654;33023709115;11,0445;11,1606;121,9818;124,5597;0,0373;0,0186;0,0186
KWT;Kuwait;0;2010;2,072;60946,55;62204,67;2,18E+11;;5,9778;66,0656;25,683;43345257706;19327900325;6189043986;10984516833;11557199415;6189043986;12378087972;30885099740;54329774539;11,0178;11,0382;121,3909;121,8415;0,0567;0,0283;0,0283
KWT;Kuwait;0;2015;1,134;66956,43;62877,92;2,84E+11;;6,9776;55,936;26,575;40172084831;14846254563;6754657449;17903289388;13759718771;6754657449;13509314898;28605973334;58075374219;11,1118;11,049;123,472;122,0793;0,0476;0,0238;0,0238
LVA;Latvia;1;1995;6,951;6058,98;8310,21;15151000000;14,2852;17,7385;26,886;27,999;16440008;776011326;758406159;31761342;1246865896;758406159;1516812318;2022877222;48201350;8,7093;9,0252;75,8518;81,455;0,1001;0,0501;0,0501
