Processo;Beneficiario;ano_GD_ben;Titulo_Processo;Area;UF_ Destino;PQ;Ano Lattes;Papers ;Papers_no_tema;Livros;Livros_tema;Capitulos;Capítulos tema;IC;IC_tema;GM;GM_tema;GD;GD_tema;ultima_prod_tema;ultima_ orient_tema;Tese;Orientador;Producoes;Producoes_tema;Orientacoes;Orientacoes_tema ;IES_GD;IES_Vinculo;prod_Geral;prdo_Tema;orient_Geral;orient_Tema;Prod_total;Orient_total
403248/2005-1;Marlene Teixeira Rodrigues;2003;Possibilidades e limites da incorporacao da transversalidade de genero pelas politicas sociais: uma analise a partir da insercao do Servico Social;Serviço Social;DF;;2018;3;2;5;1;10;10;22;22;9;5;2;1;2015;2016;POLÍCIA E PROSTITUIÇÃO FEMININA EM BRASÍLIA - UM ESTUDO DE CASO;Lourdes Maria Bandeira;2;1;0;0;UnB;UnB;18;13;33;28;20;28
402945/2005-0;Marli Lúcia Tonatto Zibetti;2005;Mulheres e professoras: implicacoes da condicao feminina no magisterio publico municipal em Rondonia;Educação;RO;;2018;28;6;6;0;20;4;16;3;14;1;0;0;2018;2018;Os saberes docentes na prática de uma alfabetizadora: um estudo etnográfico;Marilene Proença Rebello de Souza;2;2;0;0;USP;UNIR;54;10;30;4;56;4
403136/2005-9;Marlise Miriam de Matos Almeida;1998;A POLITICA NA AUSENCIA DAS MULHERES: UM ESTUDO SOBRE RECRUTAMENTO POLITICO, TRAJETORIAS/CARREIRAS E COMPORTAMENTO LEGISLATIVO DE MULHERES;Ciência Política;MG;PQ-2;2018;18;18;6;6;43;32;14;14;12;8;7;6;2018;2017;Reinvenções do Vínculo Amoroso: cultura e identidade de gênero na modernidade tardia;Neuma Aguiar e Luís Eduardo Soares;9;9;2;1;IUPERJ;UFMG;67;56;33;28;76;30
402926/2005-6;Marta Mega de Andrade;2000;O Espaco Publico e a Construcao do Genero: contextos funerarios e exposicao feminina na Atenas Classica;História;RJ;PQ-2;2018;10;4;2;2;7;5;10;9;8;3;2;1;2014;2016;"A Vida Comum"": espaço, cotidiano e representações urbanas na Atenas Clássica";Ulpiano Toledo Bezerra de Meneses;10;2;7;4;USP;UFRJ;19;11;20;13;29;20
403268/2005-2;Monica Aparecida Del Rio Benevenuto;2003;"""MULHER E TERRA: REPENSANDO O LUGAR SOCIAL DA MULHER RURAL SOB A OTICA DAS RELACOES DE GENERO E INTERGERACIONAL""";Economia Doméstica;RJ;;2018;1;0;2;1;7;2;5;4;4;0;0;0;2016;2013;Aparência e estilo como elementos de análise da expressão de juventude do Assentamento rural de Casas Altas-RJ;Silvana Gonçalves de Paula;1;0;3;2;UFRRJ;UFRRJ;10;3;9;4;11;7
402997/2005-0;Mozar José de Brito;2000;Relacoes de Poder, Genero e Violencia no Espaco Organizacional: Uma Abordagem  Construcionista;Administração;MG;PQ-1B /CA;2018;92;3;1;0;2;1;3;1;25;1;9;1;2014;2012;Mudança e cultura organizacional: A construção social de um novo modelo de gestão de P&D na EMBRAPA;Maria Tereza Leme Fleury;24;9;13;2;USP;UFLA;95;4;37;3;119;16
402960/2005-0;Najara Ferrari Pinheiro;2004;Corpo na TV: estrategias verbais e nao-verbais de representacao de genero  no discurso dos magazines femininos televisivos;Comunicação;RS;;2018;19;8;6;0;8;0;23;11;1;0;0;0;2010;2010;A marquetização no discurso dos magazines femininos televisuais;Ronaldo Cesar Henn;3;0;1;1;UNISINOS;Universidade Franciscana;33;8;24;11;36;12
402912/2005-5;Nara Martini Bigolin;1999;Utilizacao do Processo de Descoberta de Conhecimento para Estabelecer o Perfil da Mulher como Consumidora de Servicos;Ciência da Computação;RS;;2018;3;0;0;0;1;0;0;0;0;0;0;0;;;Descoberta de Conhecimento em Banco de Dados Geográficos e Orientado a Objeto;Anne Doucet;5;0;2;0;Université Pierre et Marie Curie, LISE / CNRS, França;UFSM;4;0;0;0;9;2
402976/2005-3;Neuza Maria de Fátima Guareschi;1998;Planejamento Familiar e Aborto: problematizando as politicas publicas de Saude da Mulher;Psicologia;RS;PQ-1C;2018;89;5;14;0;49;2;24;3;17;3;21;4;2017;2011; The Favela and the School: contraditions and resistence in students'constructions of identities;Michael Apple;49;14;43;8;" 
University of Wisconsin";UFRGS;152;7;62;10;201;53
403214/2005-0;Patrícia Fernanda GOUVEIA DA SILVA;2003;'AS NOVAS ECONOMISTAS DOMESTICAS DO DED/UFV/MG: EXTENSAO UNIVERSITARIA, DISPOSICAO PROFISSIONAL E CONFIGURACOES IDENTITARIAS ';Economia Doméstica;MG;;2017;9;4;1;0;7;2;4;3;10;5;0;0;2010;2008;Mulheres - comunitárias, personae - viajantes. Classe, gênero, identidade e participação popular; Regina Celia Reyes Novaes;4;1;4;2;UFRJ;UFV;17;6;14;8;21;12
403101/2005-0;Rita de Lourdes de Lima;2005;O papel das mulheres na historia do Departamento de Servico Social em Natal - RN;Serviço Social;RN;PQ-2;2018;14;8;2;2;2;2;18;6;19;11;0;0;2017;2018;"Os Assistentes Sociais e a questão da subalternidade profissional: reflexões acerca das representaçõe sociais do ""Ser Mulher"" e do Serviço Social";Maria de Fátima de Souza Santos;0;0;2;0;UFPE;UFRN;18;12;37;17;18;19
403246/2005-9;Rosane Silva Pinto de Mendonça;2000;INVESTIMENTO EM CAPITAL HUMANO DA MULHER COMO ESTRATEGIA DE COMBATE A POBREZA E A DESIGUALDADE;Economia;RJ;;2010;4;0;0;0;8;0;1;0;3;0;1;0;1998;;A Oportunidade Imperdível: Expansão Educacional e Desenvolvimento Humano no Brasil;Ricardo Paes de Barros;20;0;0;0;UFRJ;UFF;12;0;5;0;32;0
403172/2005-5;Rosângela Saldanha Pereira;2002;O Desafio da Transversalidade e Equidade de Genero e Raca nas Politicas Publicas: Estudo do Orcamento do Municipio de Cuiaba no Ano de 2005.;Economia;MT;;2017;10;3;0;0;3;1;1;0;0;0;0;0;2015;2009;Conexão entre desigualdade de renda, educação e mercado de trabalho: o caso de Mato Grosso na década de 90; Edson Pacheco de Almeida;4;1;3;0;UFMT;UFMT;13;4;1;0;17;3
402979/2005-2;Rosineide de Lourdes Meira Cordeiro;2004;As agricultoras e a Previdencia Social  no Sertao de Pernambuco;Serviço Social;PE;;2018;22;13;7;6;26;18;18;17;24;15;2;2;2016;2017;Além das secas e das chuvas: os usos da nomeação mulher trabalhadora rural no Sertão de Pernambuco;Mary Jane Spink;1;1;1;1;PUC/SP;UFPE;55;37;44;34;56;35
403089/2005-0;Ruth Sabat;2003;Discursos jovens e a producao performativa de genero e sexualidade;Educação;RS;;2014;1;0;0;0;7;5;0;0;0;0;0;0;2013;2011; Filmes Infantis e a Produção Performativa da Heterossexualidade;Guacira Lopes Louro;6;6;1;1;UFRGS;UFRGS;8;5;0;0;14;1
402975/2005-7;Salete Oro Boff;2005;As discriminacoes de genero no Poder Judiciario;Direito;RS;;2018;65;0;33;1;78;1;12;0;18;0;4;1;2011;2015; BIOÉTICA, BIOTECNOLOGIA E PATENTES DE GENES: PERSPECTIVAS ÉTICAS E JURÍDICAS;VICENTE DE PAULO BARRETTO;4;1;0;0;UNISINOS;"
FACULDADE MERIDIONAL";176;2;34;1;180;1
